Engine,10,20,30,40,50,60,70,80,90,100
DuckDB,7.902729,26.936239,59.1435,111.133201,171.342721,242.345826,329.979028,443.659869,566.747491,677.216785
SQL Server,12.724465,48.948985,100.466355,180.146468,277.157849,401.31536,550.708896,710.209373,991.101385,1189.640228
Umbra,24.559083,104.90487,220.020644,411.858296,640.609087,1066.850918,1374.756992,1792.883568,2250.730818,2740.969969
PostgreSQL,17.436729,66.326954,141.666216,258.192282,384.791759,545.383206,746.112604,919.545898,1166.446729,1373.264357
MySQL,,,,,,,,,,
SQLite,81.374945,319.955381,720.543989,1277.629737,1991.817066,2855.05727,3867.535479,5050.084464,6395.758843,7961.434812
Db2,46.054036,172.498537,727.475523,1725.360786,2266.730335,2941.340888,3728.283019,4545.595124,5295.042729,5938.83943
