Engine,10,20,30,40,50,60,70,80,90,100
DuckDB,11178,20534,29989,39737,50942,62489,70900,82287,94064,106361
SQL Server,11178,20534,29989,39737,50942,62489,70900,82287,94064,106361
Umbra,11178,20534,29989,39737,50942,62489,70900,82287,94064,106361
PostgreSQL,11178,20534,29989,39737,50942,62489,70900,82287,94064,106361
MySQL,11178,20534,29989,39737,50942,62489,70900,82287,94064,106361
SQLite,11178,20534,29989,39737,50942,62489,70900,82287,94064,106361
Db2,11178,20534,29989,39737,50942,62489,70900,82287,94064,106361
