Engine,10,20,30,40,50,60,70,80,90,100
DuckDB,28.948916,129.717214,300.943427,536.042839,843.307279,1135.019179,1496.200822,2156.914493,2648.496374,3167.656589
SQL Server,11.790576,45.082839,100.38636,178.637938,275.205271,395.122189,540.77671,699.128991,887.33649,1095.267872
Umbra,19.297973,103.917779,221.934928,403.918224,688.03807,965.575104,1404.726794,1848.345932,2360.984688,2854.891318
PostgreSQL,19.934293,80.619407,184.871978,294.226866,558.469024,793.379125,925.317803,1393.183804,1418.500809,1728.131882
MySQL,70.388942,271.027977,620.450948,1090.40279,1700.097818,2396.182767,3242.839297,4284.249284,5358.141552,7040.084057
SQLite,81.225439,321.693063,743.62229,1289.54021,1996.694582,2858.602951,3883.143722,5074.738146,6433.854102,7924.4765
Db2,46.453563,172.678113,430.407674,859.782296,1357.706038,1948.607896,2609.749647,3244.003651,4368.345233,5151.513824
